2026-06-25 15:21:05,620 [INFO] ============================================================
2026-06-25 15:21:05,621 [INFO] START sync_software (V_CMDB_Software) -- 2026-06-25 15:21:05.621178
2026-06-25 15:21:05,967 [ERROR] [upsert] Gagal pada SoftwareName=Copilot Update: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,967 [ERROR] [upsert] Gagal pada SoftwareName=CreateNativeDotNetImages: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,968 [ERROR] [upsert] Gagal pada SoftwareName=Credential Dialog Host: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,969 [ERROR] [upsert] Gagal pada SoftwareName=csc: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,969 [ERROR] [upsert] Gagal pada SoftwareName=csi: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,970 [ERROR] [upsert] Gagal pada SoftwareName=Data Collector Execution Utility: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,970 [ERROR] [upsert] Gagal pada SoftwareName=Database Mail engine: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,971 [ERROR] [upsert] Gagal pada SoftwareName=datacollector: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,972 [ERROR] [upsert] Gagal pada SoftwareName=datacollector: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,972 [ERROR] [upsert] Gagal pada SoftwareName=devinit: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,973 [ERROR] [upsert] Gagal pada SoftwareName=DiagnosticsHub_CollectionService: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
